Le bassin central 
0|30.54|38.81
Les vehicles 
1|23.67|-2.27|1|1052.0|480.0
1|23.67|-2.27|2|1278.0|480.0
1|23.67|-2.27|3|1023.0|480.0
1|23.67|-2.27|4|814.0|480.0
1|23.67|-2.27|5|894.0|480.0
1|23.67|-2.27|6|1340.0|480.0
1|23.67|-2.27|7|1084.0|480.0
2|-22.12|11.49|8|1090.0|480.0
2|-22.12|11.49|9|1186.0|480.0
2|-22.12|11.49|10|1151.0|480.0
2|-22.12|11.49|11|1070.0|480.0
2|-22.12|11.49|12|1259.0|480.0
2|-22.12|11.49|13|1189.0|480.0
2|-22.12|11.49|14|1236.0|480.0
3|-32.15|17.0|15|1158.0|480.0
3|-32.15|17.0|16|1285.0|480.0
3|-32.15|17.0|17|1016.0|480.0
3|-32.15|17.0|18|838.0|480.0
3|-32.15|17.0|19|818.0|480.0
3|-32.15|17.0|20|816.0|480.0
3|-32.15|17.0|21|1075.0|480.0
Les sites de collecte 
4|-24.6|31.15|76.0
5|29.97|-5.91|71.0
6|43.93|-35.78|53.0
7|16.54|32.95|23.0
8|-4.33|34.84|77.0
9|-31.79|24.65|11.0
10|9.36|-13.11|66.0
11|20.21|-42.61|58.0
12|-38.34|32.99|88.0
13|-8.99|49.8|68.0
14|-6.74|37.77|95.0
15|-9.14|38.93|34.0
16|8.77|-23.83|23.0
17|-36.51|10.88|86.0
18|-42.1|-46.7|52.0
19|-25.08|22.75|84.0
20|22.12|-28.02|75.0
21|40.74|27.71|61.0
22|35.85|-13.58|34.0
23|40.52|-18.45|37.0
24|3.98|-13.85|73.0
25|1.63|-21.21|70.0
26|38.69|12.81|40.0
27|47.86|38.96|62.0
28|27.65|24.46|33.0
29|-1.18|39.81|16.0
30|-36.96|-13.12|51.0
31|-25.08|-26.9|90.0
32|6.04|-10.61|68.0
33|9.6|-19.43|55.0
34|35.21|-46.0|17.0
35|-4.11|13.34|82.0
36|28.74|30.89|46.0
37|-2.69|45.92|90.0
38|-39.77|-49.24|91.0
39|34.44|-32.05|23.0
40|45.86|35.2|31.0
41|18.36|-29.02|72.0
42|-33.55|49.71|47.0
43|39.18|45.79|67.0
44|2.4|21.03|52.0
45|34.22|6.19|29.0
46|-38.32|30.39|39.0
47|-46.42|-40.3|50.0
48|-48.62|37.08|87.0
49|13.53|-47.71|54.0
50|41.88|-16.74|39.0
51|-22.42|24.63|79.0
52|-0.46|-19.82|54.0
53|33.83|31.02|90.0
54|18.32|-21.94|26.0
55|43.18|-11.75|95.0
56|-36.13|-21.87|57.0
57|17.76|41.52|29.0
58|-45.53|-46.67|69.0
59|-48.76|-42.81|20.0
60|42.68|6.38|22.0
61|-36.39|-21.84|53.0
62|28.34|8.82|48.0
63|41.84|6.46|51.0
64|29.6|32.63|38.0
65|-45.28|9.96|21.0
66|-38.48|7.17|51.0
67|-4.68|-14.76|90.0
68|24.08|8.68|65.0
69|-42.21|47.11|84.0
70|-19.23|16.81|79.0
71|-13.55|-43.26|77.0
72|16.92|-46.56|57.0
73|44.7|44.94|50.0
74|3.34|-47.53|70.0
75|38.83|35.1|78.0
76|-45.72|-3.6|46.0
77|-2.45|20.76|46.0
78|-38.15|-4.91|65.0
79|-48.13|7.28|81.0
80|8.73|-24.4|52.0
81|-18.07|-16.13|75.0
82|9.92|-2.31|14.0
83|-2.36|-47.41|23.0
84|10.94|9.37|21.0
85|-2.13|4.3|51.0
86|-25.58|8.94|45.0
87|9.74|-1.87|71.0
88|20.29|-14.19|19.0
89|43.49|-29.5|37.0
90|45.44|-29.1|96.0
91|11.61|-27.33|15.0
92|38.2|39.28|58.0
93|-49.0|11.45|55.0
94|20.04|-27.23|73.0
95|-43.58|47.03|39.0
96|-7.52|8.02|18.0
97|-20.18|-16.44|38.0
98|40.62|-32.86|90.0
99|-24.13|-26.09|17.0
100|46.34|-8.05|80.0
101|-23.38|47.84|66.0
102|-5.85|-19.53|42.0
103|-39.87|-35.09|14.0
104|10.46|-45.04|79.0
105|36.97|-12.47|67.0
106|-36.93|-25.66|94.0
107|16.24|-32.28|81.0
108|-38.16|40.65|64.0
109|28.55|41.8|83.0
110|44.03|39.29|66.0
111|-22.84|31.34|96.0
112|-2.35|-4.24|66.0
113|-39.6|-44.23|93.0
114|-24.58|27.67|75.0
115|-41.21|-27.71|65.0
116|-22.11|20.46|21.0
117|8.24|-27.72|82.0
118|39.68|-42.71|18.0
119|-12.76|-20.44|69.0
120|35.16|-10.49|28.0
121|30.47|15.86|42.0
122|31.45|42.48|44.0
123|43.53|21.36|11.0
124|-44.8|13.6|56.0
125|34.71|44.14|91.0
126|7.58|34.19|78.0
127|-1.91|41.4|17.0
128|-43.41|34.89|90.0
129|-20.45|-32.72|38.0
130|-40.01|-24.28|30.0
131|32.25|-42.28|34.0
132|23.27|-24.15|24.0
133|21.34|-39.35|52.0
134|-22.63|5.86|85.0
135|-30.95|1.88|27.0
136|-31.77|-14.21|15.0
137|40.8|21.25|94.0
138|-13.17|-34.1|12.0
139|-39.48|-38.53|28.0
140|32.05|-46.13|94.0
141|9.13|43.24|24.0
142|-8.62|-7.72|58.0
143|3.9|13.69|88.0
144|44.64|-17.01|45.0
145|-21.47|12.91|20.0
146|44.42|1.51|65.0
147|-16.21|-36.9|61.0
148|3.91|43.63|35.0
149|6.7|48.59|86.0
150|27.08|-1.05|87.0
151|-37.21|21.27|50.0
152|49.61|-48.26|11.0
153|-49.71|35.76|29.0
