Le bassin central 
0|-28.4|-21.7
Les vehicles 
1|19.26|2.9|1|1076.0|480.0
1|19.26|2.9|2|1228.0|480.0
1|19.26|2.9|3|816.0|480.0
1|19.26|2.9|4|1299.0|480.0
1|19.26|2.9|5|951.0|480.0
1|19.26|2.9|6|836.0|480.0
1|19.26|2.9|7|1026.0|480.0
2|-11.39|-3.52|8|892.0|480.0
2|-11.39|-3.52|9|891.0|480.0
2|-11.39|-3.52|10|1064.0|480.0
2|-11.39|-3.52|11|1311.0|480.0
2|-11.39|-3.52|12|938.0|480.0
2|-11.39|-3.52|13|880.0|480.0
2|-11.39|-3.52|14|999.0|480.0
3|-39.02|41.21|15|1336.0|480.0
3|-39.02|41.21|16|1309.0|480.0
3|-39.02|41.21|17|1356.0|480.0
3|-39.02|41.21|18|1290.0|480.0
3|-39.02|41.21|19|1303.0|480.0
3|-39.02|41.21|20|1271.0|480.0
3|-39.02|41.21|21|1236.0|480.0
4|-22.47|-42.02|22|1074.0|480.0
4|-22.47|-42.02|23|870.0|480.0
4|-22.47|-42.02|24|1219.0|480.0
4|-22.47|-42.02|25|944.0|480.0
4|-22.47|-42.02|26|1236.0|480.0
4|-22.47|-42.02|27|1141.0|480.0
4|-22.47|-42.02|28|1131.0|480.0
5|19.31|-36.34|29|876.0|480.0
5|19.31|-36.34|30|1171.0|480.0
5|19.31|-36.34|31|803.0|480.0
5|19.31|-36.34|32|1254.0|480.0
5|19.31|-36.34|33|1026.0|480.0
5|19.31|-36.34|34|1122.0|480.0
5|19.31|-36.34|35|1222.0|480.0
6|-1.0|-11.52|36|1268.0|480.0
6|-1.0|-11.52|37|1037.0|480.0
6|-1.0|-11.52|38|1260.0|480.0
6|-1.0|-11.52|39|909.0|480.0
6|-1.0|-11.52|40|944.0|480.0
6|-1.0|-11.52|41|1153.0|480.0
6|-1.0|-11.52|42|1250.0|480.0
Les sites de collecte 
7|-21.67|-8.64|56.0
8|43.97|17.34|57.0
9|-7.6|-2.03|74.0
10|29.63|29.07|48.0
11|-46.25|-13.69|57.0
12|-25.23|-15.5|98.0
13|33.19|22.23|78.0
14|2.5|9.22|49.0
15|25.94|-28.28|30.0
16|18.24|7.23|96.0
17|10.95|-13.15|96.0
18|-10.69|20.87|86.0
19|37.23|38.32|13.0
20|8.54|24.98|72.0
21|-16.58|-2.07|58.0
22|-41.08|12.51|52.0
23|-2.11|33.28|83.0
24|9.05|1.84|60.0
25|15.78|-11.52|64.0
26|-40.43|-28.36|95.0
27|-33.16|-10.18|88.0
28|29.8|8.56|19.0
29|33.15|33.27|34.0
30|20.85|34.54|61.0
31|-10.58|-17.98|24.0
32|16.28|-33.53|41.0
33|-39.74|26.39|30.0
34|-15.02|48.73|92.0
35|-41.48|36.18|56.0
36|31.94|-8.93|47.0
37|26.74|-34.32|72.0
38|2.32|38.53|19.0
39|-10.09|-44.32|41.0
40|-18.36|-1.66|86.0
41|41.55|13.3|52.0
42|-49.23|49.04|75.0
43|27.92|40.67|61.0
44|48.2|-38.4|31.0
45|-34.94|26.31|27.0
46|-36.1|-30.93|12.0
47|22.31|9.45|37.0
48|39.52|31.76|67.0
49|32.33|-23.28|18.0
50|-22.49|-41.77|52.0
51|42.58|-46.88|69.0
52|-31.66|-41.08|25.0
53|6.1|4.88|66.0
54|29.44|28.76|66.0
55|20.47|-19.91|32.0
56|11.97|-21.83|60.0
57|-37.08|-24.47|38.0
58|-27.63|-42.73|16.0
59|36.93|32.14|17.0
60|24.39|47.54|36.0
61|41.08|30.56|69.0
62|-15.6|27.07|34.0
63|-5.65|-21.35|54.0
64|-2.27|-49.11|21.0
65|3.76|-42.37|87.0
66|-12.9|26.16|59.0
67|40.2|20.72|10.0
68|-4.4|3.68|57.0
69|-4.13|18.85|20.0
70|5.92|-48.49|15.0
